@relation AAC
@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE x3 REAL
@ATTRIBUTE x4 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE x7 REAL
@ATTRIBUTE x8 REAL
@ATTRIBUTE x9 REAL
@ATTRIBUTE x10 REAL
@ATTRIBUTE x11 REAL
@ATTRIBUTE x12 REAL
@ATTRIBUTE x13 REAL
@ATTRIBUTE x14 REAL
@ATTRIBUTE x15 REAL
@ATTRIBUTE x16 REAL
@ATTRIBUTE x17 REAL
@ATTRIBUTE x18 REAL
@ATTRIBUTE x19 REAL
@ATTRIBUTE x20 REAL
@ATTRIBUTE class 	{1,2,3,4,5,6,7}


@DATA
7.58483,3.19361,3.59281,6.68663,6.88623,5.88822,1.99601,7.58483,3.99202,8.88224,1.49701,4.19162,4.79042,4.99002,4.59082,9.28144,5.18962,5.18962,1.59681,2.39521,1
6.86456,3.24675,3.71058,6.86456,7.05009,5.93692,2.13358,7.05009,4.45269,9.18367,0.834879,4.35993,4.54545,4.54545,4.1744,9.27644,5.56586,5.93692,1.66976,2.5974,1
7.34884,3.16279,3.62791,6.97674,6.97674,6.4186,1.95349,7.44186,4.09302,8.93023,1.30233,4,5.48837,3.90698,4.74419,9.2093,5.2093,5.11628,1.5814,2.51163,1
6.73527,3.18054,3.64827,6.82881,6.82881,6.54818,1.96445,7.57717,4.77081,8.69972,1.12254,4.86436,4.30309,4.02245,4.39663,9.82226,5.145,5.23854,1.59027,2.71282,1
7.99632,2.94118,3.76838,6.61765,6.89338,7.99632,2.02206,6.43382,3.67647,8.63971,0.735294,4.13603,6.52574,2.66544,5.97426,8.63971,4.87132,5.51471,1.74632,2.20588,1
7.01107,3.22878,3.50554,6.91882,7.01107,6.08856,2.12177,7.19557,4.33579,8.76384,1.19926,4.33579,4.42804,4.98155,4.5203,9.31734,5.4428,5.4428,1.56827,2.58303,1
6.65499,2.71454,4.72855,4.72855,5.34151,4.55342,1.83888,6.21716,4.81611,8.05604,1.83888,7.35552,4.46585,2.97723,4.46585,9.45709,7.70578,6.91769,1.66375,3.50263,1
7.17658,3.21058,3.39943,7.17658,7.08215,6.32672,1.983,7.17658,4.53258,8.59301,1.03872,5.28801,4.72144,2.92729,4.43815,9.63173,5.57129,5.47686,1.60529,2.644,1
6.79522,3.39761,3.48944,6.97888,7.16253,6.06061,2.0202,7.16253,4.0404,8.99908,1.28558,4.13223,4.77502,4.49954,4.49954,9.27456,5.87695,5.50964,1.56107,2.47934,1
6.01358,3.49176,3.78274,6.49855,6.30456,6.20757,2.23084,7.75946,5.33463,8.34142,1.64888,4.65567,3.68574,3.29777,3.97672,9.21435,6.40155,6.11057,1.4549,3.58875,1
6.80147,3.21691,3.58456,6.70956,7.07721,6.06618,2.11397,7.07721,4.41176,9.375,0.827206,4.31985,4.50368,4.59559,4.13603,9.28309,5.60662,6.06618,1.65441,2.57353,1
6.86456,3.24675,3.61781,6.7718,7.05009,6.12245,2.13358,7.14286,4.45269,9.18367,0.834879,4.35993,4.45269,4.54545,4.1744,9.27644,5.56586,5.93692,1.66976,2.5974,1
6.8582,3.4291,3.52178,7.04356,7.04356,6.11677,2.03892,7.22892,4.07785,8.89713,1.2975,4.17053,4.7266,4.44856,4.54124,9.26784,5.83874,5.37535,1.57553,2.50232,1
5.70175,3.39912,4.60526,5.26316,6.35965,6.14035,1.86404,7.23684,5.59211,9.86842,2.08333,4.05702,4.16667,3.07018,3.83772,8.11404,5.92105,7.67544,1.64474,3.39912,1
5.67227,1.68067,5.2521,6.72269,5.67227,5.2521,2.73109,7.98319,5.2521,6.93277,2.52101,5.2521,4.20168,2.52101,4.20168,7.56303,6.72269,7.56303,1.89076,4.41176,1
6.14035,3.39912,4.60526,5.48246,6.35965,5.8114,1.42544,7.34649,5.8114,9.75877,2.52193,4.38596,4.38596,2.63158,3.50877,7.78509,6.0307,7.23684,1.64474,3.72807,1
5.70801,3.29308,4.17124,6.03732,6.25686,6.03732,1.64654,6.91548,6.25686,9.54995,2.30516,4.50055,4.17124,2.19539,3.62239,8.12294,6.36663,7.68386,1.427,3.73216,1
5.70801,3.29308,4.17124,6.03732,6.25686,6.03732,1.64654,6.91548,6.25686,9.54995,2.30516,4.50055,4.17124,2.19539,3.62239,8.12294,6.36663,7.68386,1.427,3.73216,1
5.70175,3.28947,4.60526,5.48246,6.35965,5.92105,1.86404,7.56579,5.48246,10.0877,2.08333,4.27632,4.27632,2.96053,3.72807,8.00439,5.92105,7.34649,1.64474,3.39912,1
6.45514,3.17287,4.814,6.23632,6.01751,6.34573,1.53173,7.87746,5.47046,9.62801,1.75055,3.93873,3.71991,2.62582,4.04814,7.33042,5.79869,7.33042,1.53173,4.37637,1
4.99391,3.16687,4.7503,5.84653,6.45554,5.48112,1.46163,7.67357,6.45554,9.1352,2.19245,4.01949,4.5067,2.19245,3.89769,8.64799,6.21194,7.42996,1.33983,4.14129,1
5.89569,3.1746,4.7619,5.21542,6.46259,5.66893,1.47392,7.48299,5.89569,9.52381,2.38095,4.42177,4.42177,2.49433,3.62812,8.04989,6.12245,7.48299,1.5873,3.85488,1
5.58931,3.03767,4.37424,5.71081,5.58931,5.22479,1.8226,8.26245,6.68287,9.35601,1.94411,4.37424,4.37424,2.18712,3.6452,7.53341,6.68287,7.77643,1.45808,4.37424,1
6.31068,3.03398,4.85437,5.46117,5.9466,5.9466,1.45631,7.40291,6.31068,9.95146,2.06311,4.36893,3.8835,2.42718,3.03398,7.64563,6.67476,7.40291,1.45631,4.36893,1
4.97573,3.03398,4.49029,5.82524,6.06796,5.9466,2.06311,8.13107,5.82524,9.10194,1.57767,4.61165,4.36893,2.18447,3.64078,7.88835,6.67476,8.49515,1.57767,3.51942,1
5.33981,3.39806,4.36893,5.82524,5.82524,6.18932,1.57767,7.40291,5.9466,10.1942,2.06311,4.00485,4.12621,2.42718,3.51942,8.13107,6.67476,7.88835,1.33495,3.76214,1
4.8478,2.93123,4.05862,5.18602,6.5389,5.74972,2.25479,8.00451,6.20068,9.80834,2.36753,4.2841,4.05862,2.36753,4.2841,7.32807,6.76437,7.21533,1.46561,4.2841,1
4.85437,3.03398,4.73301,5.82524,5.9466,5.82524,1.82039,8.49515,5.9466,8.73786,1.82039,4.36893,4.24757,2.18447,4.00485,8.00971,6.43204,8.37379,1.57767,3.76214,1
5.70388,3.39806,4.36893,5.9466,5.58252,5.70388,1.94175,8.13107,6.06796,9.95146,2.06311,4.00485,4.49029,2.18447,3.39806,8.25243,6.31068,7.28155,1.33495,3.8835,1
4.85437,3.15534,4.73301,5.58252,6.06796,6.06796,1.94175,8.00971,5.82524,8.98058,1.45631,4.49029,4.24757,2.30583,3.76214,8.00971,6.91748,8.49515,1.57767,3.51942,1
6.0307,3.28947,4.27632,6.0307,6.14035,6.25,1.53509,7.67544,5.70175,9.42982,1.75439,4.05702,3.72807,2.63158,4.27632,7.89474,5.92105,7.56579,1.86404,3.94737,1
6.25686,3.18332,4.50055,5.92755,5.92755,6.58617,1.53677,8.12294,5.3787,9.54995,1.86608,3.62239,3.9517,2.63447,4.39078,7.46432,6.14709,7.13502,1.64654,4.17124,1
7.81065,2.84024,4.26036,5.44379,6.62722,5.91716,1.42012,8.7574,5.79882,8.40237,1.6568,4.73373,3.90533,2.01183,3.43195,8.7574,6.98225,6.15385,1.6568,3.43195,1
6.36364,4.09091,3.48485,4.69697,4.84848,5.15152,2.72727,7.57576,4.84848,11.0606,2.42424,5.15152,4.09091,3.48485,4.69697,7.27273,5.30303,7.87879,1.51515,3.33333,1
4.81799,1.82013,3.96146,5.24625,6.53105,4.38972,2.24839,8.35118,6.10278,11.1349,1.82013,5.46039,3.31906,3.64026,4.60385,8.77944,5.56745,7.38758,1.606,3.21199,2
6.31383,2.13556,4.82823,5.84958,4.17827,4.27112,3.15692,6.22098,6.40669,9.47075,2.78552,4.92108,5.19963,2.97122,6.31383,7.70659,6.31383,6.03528,1.57846,3.34262,2
6.24442,2.05174,4.63872,5.61998,4.19269,4.90633,3.21142,6.06601,6.15522,9.27743,2.76539,4.72792,5.17395,3.38983,6.60125,7.85013,6.15522,6.15522,1.60571,3.21142,2
8.03511,1.28292,4.86158,6.1445,3.78123,6.75219,2.09318,4.59149,4.3214,9.18298,1.35044,4.25388,4.99662,2.83592,8.3052,10.8035,6.61715,6.61715,1.14787,2.02566,2
6.51163,1.97674,4.65116,6.16279,5,5.93023,2.09302,6.62791,5.11628,9.88372,3.25581,4.88372,4.53488,5,4.06977,5.93023,6.97674,6.27907,1.51163,3.60465,2
6.65163,2.59301,3.72041,5.86246,4.8478,5.74972,2.14205,6.87711,4.8478,11.8377,2.70575,4.2841,4.73506,5.07328,4.2841,5.63698,6.98985,6.5389,1.46561,3.15671,2
6.43275,2.10526,4.67836,5.84795,5.26316,5.84795,2.22222,6.90058,4.91228,9.94152,3.15789,4.5614,4.67836,4.67836,3.74269,6.08187,7.01754,6.54971,1.75439,3.62573,2
6.43204,2.18447,4.85437,5.9466,5.21845,5.70388,2.18447,6.91748,5.09709,9.8301,3.15534,4.73301,4.61165,4.85437,3.76214,5.9466,6.91748,6.43204,1.45631,3.76214,2
7.19895,2.09424,4.71204,5.2356,4.58115,5.36649,1.70157,7.19895,5.62827,10.0785,2.6178,4.84293,3.40314,4.97382,4.71204,6.5445,5.49738,7.98429,2.09424,3.53403,2
6.43564,2.10396,4.70297,5.19802,4.82673,5.94059,1.73267,8.16832,5.69307,9.77723,2.47525,4.20792,2.9703,4.33168,4.57921,7.79703,5.56931,7.42574,2.22772,3.83663,2
7.61155,1.9685,4.19948,6.82415,5.51181,5.77428,2.3622,7.74278,4.98688,9.71129,3.41207,3.01837,3.28084,4.46194,5.64304,6.82415,4.98688,6.03675,2.23097,3.41207,2
7.34788,2.06659,4.3628,5.97015,4.01837,5.16648,1.37773,6.88863,5.28129,9.41447,2.41102,4.82204,4.70723,3.09989,5.51091,7.23307,6.42939,8.26636,2.1814,3.44432,2
7.97619,2.2619,4.28571,5.95238,4.28571,6.19048,1.90476,7.02381,5,10.119,2.7381,3.57143,3.80952,4.52381,5.2381,6.07143,6.42857,7.38095,2.02381,3.21429,2
8.08561,2.25922,4.28062,6.06421,4.28062,6.06421,2.14031,7.01546,4.87515,10.107,2.61593,3.56718,3.80499,4.39952,5.23187,6.06421,6.53983,7.37218,2.0214,3.21046,2
8.12425,2.27001,3.94265,6.21266,4.30108,6.21266,1.91159,6.57109,5.37634,10.1553,2.86738,3.46476,3.94265,4.42055,4.89845,6.09319,6.57109,7.40741,2.03106,3.22581,2
7.31995,2.00708,4.84061,5.549,4.2503,8.02834,1.41677,7.08383,5.43093,9.79929,2.47934,4.48642,3.06966,4.2503,5.07674,7.20189,4.84061,7.55608,1.88902,3.42385,2
7.58123,2.04573,4.81348,4.45247,3.85078,6.25752,2.04573,5.5355,4.69314,9.86763,2.16606,5.17449,4.45247,4.21179,6.73887,8.18291,6.13718,6.73887,2.16606,2.88809,2
8.19477,2.25653,4.3943,6.05701,4.27553,6.17577,2.13777,6.7696,4.75059,10.095,2.73159,3.44418,3.80048,4.3943,5.22565,6.53207,6.4133,7.12589,2.019,3.20665,2
8.4223,2.25386,4.27046,6.04982,4.27046,6.04982,2.13523,6.99881,4.86358,10.083,2.60973,3.55872,3.79597,4.38909,5.21945,6.04982,6.52432,7.23606,2.01661,3.20285,2
7.7193,2.22222,4.32749,6.43275,4.21053,5.96491,1.87135,7.36842,5.02924,10.0585,2.69006,3.85965,3.62573,4.21053,5.02924,6.19883,6.66667,7.48538,1.9883,3.04094,2
7.70142,2.48815,4.2654,6.27962,4.14692,6.27962,1.89573,7.22749,4.85782,10.1896,2.72512,3.90995,4.02844,4.02844,5.21327,5.6872,6.75355,7.22749,2.01422,3.08057,2
7.43741,2.50368,4.27099,7.36377,4.05007,5.59647,1.91458,5.22828,6.11193,8.3947,2.65096,3.60825,4.93373,5.37555,5.6701,7.58468,6.2592,5.81738,1.54639,3.68189,2
8.18713,2.5731,4.09357,6.08187,4.32749,6.19883,1.9883,6.90058,4.79532,10.1754,2.80702,3.50877,3.97661,4.32749,5.02924,6.19883,6.31579,7.1345,1.9883,3.39181,2
8.0891,2.4619,4.10317,6.21336,4.10317,6.44783,1.99297,6.91676,4.9238,9.96483,2.57913,3.98593,3.75147,4.10317,5.15826,6.09613,6.56506,7.50293,1.99297,3.04807,2
7.92899,2.36686,4.61538,5.79882,4.14201,5.79882,2.24852,6.98225,5.08876,10.2959,2.60355,3.5503,3.90533,4.14201,5.56213,6.0355,6.74556,7.10059,2.01183,3.07692,2
8.19477,2.25653,4.27553,6.05701,4.27553,6.17577,2.13777,7.00713,4.75059,10.095,2.61283,3.56295,3.91924,4.51306,5.22565,6.05701,6.4133,7.24466,2.019,3.20665,2
8.01068,2.13618,4.13885,6.40854,4.27236,4.93992,2.00267,7.0761,5.07343,9.74633,2.67023,3.73832,3.33778,4.40587,5.60748,6.27503,6.94259,7.61015,2.00267,3.60481,2
6.56506,2.22743,4.68933,6.3306,4.9238,5.6272,1.52403,7.62016,6.3306,9.96483,2.22743,4.33763,3.63423,4.10317,4.68933,6.79953,5.50996,6.56506,2.34467,3.98593,2
6.71581,1.7199,4.5045,5.15971,4.0131,4.7502,4.0131,5.40541,5.24161,7.94431,2.7027,4.4226,4.914,5.48731,5.81491,9.25471,6.30631,6.96151,1.4742,3.1941,2
6.72131,1.72131,4.5082,5.08197,4.01639,4.7541,4.01639,5.4918,5.2459,7.95082,2.62295,4.42623,4.91803,5.4918,5.81967,9.2623,6.31148,6.96721,1.47541,3.19672,2
6.72131,1.72131,4.5082,5.08197,4.01639,4.7541,4.01639,5.40984,5.2459,7.95082,2.70492,4.42623,4.91803,5.4918,5.81967,9.2623,6.31148,6.96721,1.47541,3.19672,2
7.22311,1.60514,4.33387,6.58106,4.01284,5.53772,3.04976,6.34029,5.45746,7.78491,2.48796,3.77207,4.73515,3.04976,6.66132,9.87159,7.14286,6.01926,1.04334,3.29053,2
7.05521,1.91718,4.1411,5.59816,3.60429,5.52147,3.22086,4.98466,5.67485,8.43558,2.22393,5.06135,4.67791,3.83436,5.44479,10.8896,6.74847,6.59509,1.38037,2.9908,2
6.88817,1.62075,4.29498,5.34846,3.80875,5.10535,3.97083,5.59157,5.18639,7.94165,2.51216,4.45705,4.61912,5.51053,6.0778,9.07618,6.40194,6.88817,1.53971,3.16045,2
6.87961,1.8018,4.4226,5.24161,4.095,4.8321,4.0131,5.40541,5.15971,7.94431,2.7027,4.3407,4.914,5.15971,5.89681,9.50041,6.22441,6.87961,1.3923,3.1941,2
6.90222,1.72555,4.43714,5.25883,4.02629,4.84799,4.02629,5.42317,5.17666,7.97042,2.71159,4.2728,4.93016,5.17666,5.91619,9.44947,6.24486,6.90222,1.39688,3.2046,2
7.22394,1.75439,4.95356,4.95356,4.12797,6.39835,2.99278,6.70795,5.15996,7.53354,2.57998,4.02477,5.36636,4.12797,5.77915,8.15273,6.70795,6.81115,1.34159,3.30237,2
6.56814,1.80624,4.18719,5.25452,3.94089,4.10509,4.02299,5.74713,5.41872,8.21018,2.62726,4.18719,4.5156,6.65025,5.74713,8.45649,7.22496,6.81445,1.31363,3.20197,2
6.53061,1.79592,4.32653,5.14286,3.91837,4.32653,3.91837,5.79592,5.38776,8,2.44898,4.40816,4.57143,6.85714,5.71429,8.32653,7.26531,6.77551,1.30612,3.18367,2
7.14286,1.59915,4.47761,5.65032,4.79744,4.58422,3.51812,5.75693,4.90405,9.59488,2.98507,3.94456,4.371,5.75693,5.11727,6.5032,5.97015,8.10235,1.81237,3.41151,2
7.69231,1.71849,4.25532,4.50082,4.00982,4.82815,3.60065,5.64648,4.58265,7.85597,2.78232,4.25532,4.99182,4.99182,6.71031,9.49264,6.46481,6.79214,1.63666,3.19149,2
6.83903,1.75146,4.25354,5.17098,4.00334,4.33695,4.08674,5.7548,5.42118,7.83987,2.75229,4.58716,4.67056,5.17098,5.8382,8.67389,7.25605,7.00584,1.41785,3.16931,2
6.66667,1.64609,4.36214,5.34979,3.78601,4.19753,3.7037,6.00823,5.26749,8.55967,2.30453,4.77366,4.77366,4.77366,6.00823,8.55967,7.3251,7.2428,1.39918,3.29218,2
6.76447,1.62999,4.40098,5.21597,4.15648,4.72698,3.99348,5.37897,5.13447,7.82396,2.68949,4.31948,4.97148,5.86797,5.86797,9.37245,6.11247,6.92747,1.54849,3.09698,2
6.72131,1.63934,4.5082,5.16393,3.93443,4.7541,4.01639,5.40984,5.16393,7.95082,2.70492,4.42623,4.91803,5.40984,5.90164,9.34426,6.22951,6.96721,1.55738,3.27869,2
6.54129,1.79886,4.25184,5.47833,3.84301,4.33361,3.76124,5.5601,5.15127,8.01308,2.53475,4.41537,4.98774,5.96893,5.8054,8.83074,6.78659,7.27719,1.47179,3.18888,2
4.44444,1.72043,4.87455,5.44803,4.01434,5.87814,2.50896,6.59498,6.73835,8.02867,2.00717,5.08961,4.08602,6.30824,5.08961,9.82079,6.23656,5.94982,1.29032,3.87097,2
8.58238,1.22605,3.29502,4.67433,3.5249,6.36015,2.75862,5.44061,3.5249,10.8046,1.68582,3.5249,5.6705,4.5977,6.7433,9.96169,7.27969,6.36015,1.37931,2.60536,2
8.35249,1.22605,3.29502,4.67433,3.5249,6.28352,2.83525,5.44061,3.5249,10.8046,1.68582,3.5249,5.74713,4.5977,6.7433,9.88506,7.35632,6.59004,1.37931,2.52874,2
9.16667,1.36364,3.18182,4.77273,3.56061,6.43939,2.65152,5.07576,3.86364,10.8333,1.59091,3.10606,5.75758,4.77273,6.81818,9.54545,6.9697,6.66667,1.43939,2.42424,2
8.78533,1.22231,3.20856,4.58365,3.43774,6.5699,2.82659,5.42399,3.51413,10.9244,1.68067,3.51413,5.88235,4.43086,6.79908,10.0076,6.79908,6.41711,1.3751,2.5974,2
8.34598,1.44158,3.56601,4.47648,3.56601,5.00759,2.95903,5.61457,3.71775,11.0015,1.74507,3.64188,5.15933,4.55235,6.9044,9.63581,8.27011,6.52504,1.28983,2.57967,2
9.375,1.37195,3.5061,4.34451,3.5061,5.56402,2.82012,5.25915,3.5061,11.4329,2.05793,3.65854,5.18293,4.57317,6.78354,9.60366,7.16463,6.55488,1.29573,2.43902,2
8.58238,1.22605,3.21839,4.75096,3.5249,6.36015,2.75862,5.44061,3.5249,10.8812,1.91571,3.5249,5.90038,4.52107,6.7433,9.80843,7.04981,6.36015,1.37931,2.52874,2
10.1246,1.40187,3.34891,4.51713,3.73832,5.76324,2.72586,5.06231,3.50467,11.838,2.02492,3.8162,5.21807,5.06231,6.38629,8.95639,6.7757,6.15265,1.24611,2.33645,2
8.02701,1.42536,3.45086,4.27607,3.67592,4.95124,2.47562,6.07652,3.82596,10.9527,1.95049,4.12603,5.02626,5.92648,6.45161,10.3526,7.35184,5.62641,1.35034,2.70068,2
8.50575,1.22605,3.29502,4.67433,3.44828,6.28352,2.83525,5.44061,3.5249,10.9579,1.83908,3.5249,5.74713,4.52107,6.81992,10.1149,6.97318,6.36015,1.37931,2.52874,2
9.47003,1.21633,3.2146,4.43093,3.73588,5.90791,2.69331,5.4735,3.30148,11.0339,1.91138,3.47524,5.38662,4.51781,6.77672,9.29626,6.8636,6.95048,1.56386,2.78019,2
9.71302,1.3245,3.53201,4.85651,3.45843,5.88668,3.16409,5.29801,3.23767,11.2583,1.766,3.09051,5.51876,4.70935,6.84327,9.63944,6.6961,6.2546,1.47167,2.28109,2
7.31707,2.07317,5.2439,5.36585,4.26829,6.21951,1.95122,7.31707,5.85366,10.6098,2.80488,4.5122,3.41463,3.78049,4.39024,6.34146,5.4878,7.56098,2.07317,3.41463,2
8.00745,2.23464,3.35196,6.70391,3.72439,7.44879,1.8622,3.91061,5.77281,11.7318,2.23464,2.97952,4.09683,5.21415,6.70391,6.89013,5.77281,6.70391,2.60708,2.04842,2
5.34521,1.3363,3.56347,6.23608,4.23163,6.68151,2.22717,5.79065,6.01336,12.0267,2.00445,3.34076,4.67706,4.00891,5.12249,9.35412,5.56793,6.90423,2.44989,3.11804,2
5.74468,1.91489,4.25532,4.89362,4.46809,6.06383,1.91489,7.23404,5.53191,10.4255,2.76596,4.46809,6.17021,4.3617,5.31915,7.44681,6.38298,5.95745,1.70213,2.97872,2
5.73858,1.91286,4.2508,4.88842,4.14453,6.16366,1.91286,7.22635,5.73858,10.5207,2.76302,4.88842,6.26993,4.46334,4.99469,7.01382,6.3762,5.84485,1.59405,3.29437,2
5.74468,1.91489,4.25532,4.89362,4.57447,6.06383,1.91489,7.23404,5.53191,10.4255,2.76596,4.46809,6.17021,4.3617,5.31915,7.44681,6.38298,5.95745,1.70213,2.87234,2
5.08083,1.96305,5.08083,4.84988,5.31178,6.23557,1.96305,7.50577,6.12009,8.42956,3.23326,6.35104,4.27252,4.50346,5.54273,6.00462,6.23557,6.69746,1.50115,3.11778,2
5.59701,1.86567,4.60199,5.34826,4.72637,6.09453,1.61692,7.71144,6.46766,9.82587,2.73632,5.59701,3.60697,4.85075,4.60199,6.21891,7.08955,6.09453,1.61692,3.73134,2
6.38298,1.91489,4.89362,4.46809,4.68085,6.2766,2.23404,8.29787,6.38298,9.3617,2.76596,5,4.46809,5,3.93617,6.2766,6.91489,6.06383,1.38298,3.29787,2
5.85106,1.91489,4.25532,4.89362,4.46809,6.06383,1.91489,7.23404,5.42553,10.4255,2.76596,4.46809,6.17021,4.3617,5.42553,7.55319,6.2766,5.95745,1.59574,2.97872,2
5.73248,1.91083,4.24628,4.88323,4.14013,6.26327,2.01699,7.21868,5.62633,10.5096,2.76008,4.67091,6.36943,4.4586,5.09554,7.00637,6.36943,5.83864,1.59236,3.29087,2
5.10689,2.3753,4.86936,4.86936,4.27553,5.22565,2.3753,7.48219,6.29454,9.02613,2.85036,5.10689,4.63183,4.63183,5.46318,7.24466,7.12589,6.17577,1.54394,3.32542,2
6.38978,1.59744,6.92226,4.57934,5.21832,6.38978,2.02343,6.17678,5.53781,7.77423,3.62087,5.11182,4.25985,3.08839,3.94036,7.56124,7.24175,7.24175,1.70394,3.62087,2
5.29412,2.23529,4.70588,5.05882,4.58824,5.76471,2,7.76471,7.17647,8.94118,3.17647,5.64706,4,4.35294,4.35294,7.17647,6.35294,6.11765,1.64706,3.64706,2
6.3358,1.79514,4.54065,4.75185,4.64625,6.1246,1.90074,7.28617,5.70222,10.1373,2.85111,5.17423,5.27983,4.43506,5.06864,7.70855,6.01901,5.49102,1.37276,3.37909,2
5.34759,2.24599,5.24064,5.02674,5.02674,5.88235,2.03209,7.48663,5.5615,8.87701,3.42246,5.7754,4.17112,4.49198,5.66845,6.73797,5.88235,6.41711,1.49733,3.20856,2
7.5028,2.35162,4.47928,4.59127,5.93505,5.93505,2.57559,7.83875,4.70325,9.63046,2.57559,5.37514,3.24748,3.24748,4.03135,7.61478,6.94289,6.60694,1.2318,3.58343,2
6.44491,1.97505,4.7817,4.5738,4.7817,6.44491,2.079,7.58836,6.23701,9.25156,2.7027,4.88565,4.88565,4.9896,4.26195,6.75676,6.65281,5.92516,1.4553,3.3264,2
5.53633,2.19146,4.38293,4.95963,4.84429,6.22837,2.07612,7.38178,5.99769,9.34256,2.76817,5.19031,4.61361,4.72895,5.19031,6.92042,6.80507,5.99769,1.61476,3.22953,2
5.4678,2.18712,4.25273,4.98177,4.73876,6.07533,2.30863,7.2904,6.07533,9.47752,2.91616,5.10328,4.49575,4.86027,4.61725,7.04739,6.68287,6.31835,1.70109,3.40219,2
5.33769,1.96078,4.90196,5.22876,4.3573,6.10022,1.74292,7.62527,6.20915,9.69499,2.94118,5.66449,4.57516,4.24837,4.46623,7.51634,6.20915,5.99129,1.85185,3.37691,2
5.38922,2.15569,4.5509,4.91018,4.5509,5.86826,2.15569,7.54491,5.86826,9.34132,2.75449,5.38922,4.31138,5.02994,4.91018,6.94611,6.94611,6.34731,1.55689,3.47305,2
5.53398,2.42718,6.31068,6.60194,4.85437,4.85437,2.03883,7.08738,4.95146,8.73786,3.30097,4.95146,4.36893,1.5534,4.36893,8.73786,6.69903,6.79612,1.65049,4.17476,2
6.75944,2.38569,5.76541,5.4672,5.666,5.96421,2.08748,6.46123,4.77137,9.04573,2.98211,6.06362,4.27435,1.88867,4.57256,6.75944,5.96421,7.45527,1.59046,4.07555,2
5.83333,2.02381,4.16667,5.2381,4.52381,5.95238,2.14286,7.02381,5.95238,9.28571,2.7381,4.88095,4.64286,4.88095,5.95238,6.66667,6.90476,6.30952,1.42857,3.45238,2
